name,market,city,status,efficiency_score,total_funding
MarketBridge, Digital Media ,Bethesda,operating,54.1,8000000.0
Intransa, Internet ,San Jose,operating,53.9,37683854.0
Dynamics Direct, Advertising Platforms ,Valencia,operating,53.8,20600000.0
FusionOps, Subscription Businesses ,Sunnyvale,operating,53.8,6656544.0
Digital Lifeboat, Security ,Sammamish,operating,53.7,5000000.0
Market Wire, Advertising ,El Segundo,operating,53.7,28150000.0
DocuSign, Cloud Management ,San Francisco,operating,53.1,230099999.0
MobiTV, Games ,Emeryville,operating,53.1,142799000.0
Neuronetics, Biotechnology ,Malvern,operating,52.9,60271500.0
SilkRoad Technology, Human Resources ,Chicago,operating,52.9,192000000.0
MarkLogic, Enterprise Software ,San Carlos,operating,52.8,73563361.0
SuperData Research, Market Research ,New York,operating,52.8,36847126.0
Dobleas, Advertising ,New York,operating,52.7,9400000.0
KoolSpan, Security ,Bethesda,operating,52.5,37669746.0
Wikia, Social Media ,San Francisco,operating,52.5,39800000.0
SynCardia Systems, Health Care ,Tucson,operating,52.3,58406234.0
EnChroma, Medical Devices ,Berkeley,operating,52.2,2043272.0
Stoke, Mobile ,Santa Clara,operating,52.2,122609480.0
Olo, Restaurants ,New York,operating,52.0,23250000.0
Tillster, Enterprise Software ,San Diego,operating,52.0,85800177.0
Ifbyphone, Marketing Automation ,Chicago,operating,51.9,66758268.0
Payoneer, E-Commerce ,New York,operating,51.9,40000000.0
Beyond.com, Consulting ,King Of Prussia,operating,51.8,13500000.0
C9 Inc., Predictive Analytics ,San Mateo,operating,51.7,35600000.0
Luxim, Hardware + Software ,Santa Clara,operating,51.7,34230131.0
WideOrbit, Advertising Platforms ,San Francisco,operating,51.7,34500000.0
Applied Genetics Technologies Corporation, Biotechnology ,Alachua,operating,51.6,78050000.0
Cartasite, Gps ,Denver,operating,51.6,6230899.0
Etsy, Peer-to-Peer ,Brooklyn,operating,51.6,97256127.0
Prosper, Personal Finance ,San Francisco,operating,51.6,189900000.0
Applause, Testing ,Framingham,operating,51.5,81556000.0
SignaCert, Software ,Horseshoe Bay,operating,51.5,19458703.0
Evernote, Software ,Redwood City,operating,51.4,290000000.0
VentiRx Pharmaceuticals, Pharmaceuticals ,Seattle,operating,51.4,104502514.0
Knopp Biosciences LLC, Biotechnology ,Pittsburgh,operating,51.3,91615394.0
OpenDNS, Security ,San Francisco,operating,51.3,51260000.0
Penthera Partners, Mobile ,Pittsburgh,operating,51.3,11499293.0
SparkBase, Software ,Cleveland,operating,51.3,10525040.0
Avvo, Marketplaces ,Seattle,operating,51.2,60500000.0
AdRoll, Advertising ,San Francisco,operating,51.1,89000000.0
Liquid Robotics, Clean Technology ,Sunnyvale,operating,51.1,81575000.0
OnDeck, Credit ,New York,operating,51.1,409000000.0
InMobi, Mobile ,San Francisco,operating,51.0,220600000.0
MWI, Web Design ,Draper,operating,51.0,350000.0
uTest, Testing ,Framingham,operating,51.0,80800000.0
Virtual Incision Corp (VIC), Robotics ,Lincoln,operating,51.0,14500000.0
BountyJobs, Human Resources ,New York,operating,50.9,29805235.0
CrestaTech, Software ,Santa Clara,operating,50.9,20885000.0
Gigaom, Market Research ,New York,operating,50.9,22325000.0
ShareThis, Social Media ,Palo Alto,operating,50.9,97758221.0
TakeLessons, Software ,San Diego,operating,50.9,18800000.0
Vice Media, Video Streaming ,Brooklyn,operating,50.9,580000000.0
BlueStripe Software, Software ,Morrisville,operating,50.8,13525000.0
Dating Headshots Inc., Social Media ,Beverly Hills,operating,50.8,170000.0
Picaboo, Photography ,Redwood City,operating,50.8,7807981.0
Sharethrough, Monetization ,San Francisco,operating,50.8,38000000.0
Quirky, E-Commerce ,New York,operating,50.7,175325006.0
Terrafugia, Public Transportation ,Waltham,operating,50.7,5817312.0
Alianza, SaaS ,Lindon,operating,50.6,5342432.0
Cortica, Computer Vision ,New York,operating,50.6,37900000.0
GameSkinny, Games ,Richmond,operating,50.6,2300000.0
Julep, Beauty ,Seattle,operating,50.6,55715020.0
One Medical Group, Doctors ,San Francisco,operating,50.6,116500000.0
Satori Pharmaceuticals, Health Care ,Cambridge,operating,50.6,47315000.0
SAY Media, Publishing ,San Francisco,operating,50.6,60900000.0
T2 Biosystems, Health Care ,Lexington,operating,50.6,83500000.0
ADARA, Advertising ,Mountain View,operating,50.5,44115160.0
BAROnova, Health Care ,Goleta,operating,50.5,41300000.0
edo, Advertising ,Nashville,operating,50.5,73500100.0
Intent Media, Advertising ,New York,operating,50.5,50985000.0
mySupermarket, Curated Web ,New York,operating,50.5,32800000.0
SynapSense, Wireless ,Folsom,operating,50.5,43500000.0
Tricycle, Clean Technology ,Chattanooga,operating,50.5,2175000.0
Voltari, Advertising ,New York,operating,50.5,273834120.0
Dropbox, Cloud Data Services ,San Francisco,operating,50.4,1107215000.0
FanDuel, Fantasy Sports ,New York,operating,50.4,86200000.0
GainSpan, Semiconductors ,San Jose,operating,50.4,113188900.0
Prezi, Presentations ,San Francisco,operating,50.4,71260000.0
Telly, Photography ,San Francisco,operating,50.4,3383459.0
Thismoment, Software ,San Francisco,operating,50.4,51979578.0
VistaGen Therapeutics, Biotechnology ,South San Francisco,operating,50.4,42820000.0
Workday, Technology ,Pleasanton,operating,50.4,175000000.0
Ayannah, E-Commerce ,Laguna Hills,operating,50.3,4500000.0
CloudLock, Google Apps ,Waltham,operating,50.3,34900000.0
Heysan, Messaging ,San Francisco,acquired,50.3,875000.0
Stormpulse, Enterprise Software ,Austin,operating,50.3,3307500.0
Wahanda, Beauty ,New York,operating,50.3,37627440.0
AppDynamics, Software ,San Francisco,operating,50.2,206500000.0
Aylus Networks, Mobile ,Westford,operating,50.2,50700000.0
BlackArrow, Advertising ,San Jose,operating,50.2,59763076.0
Domain Media, Curated Web ,Chandler,operating,50.2,0.0
GenieDB, Databases ,San Juan Capistrano,operating,50.2,7570000.0
HubSpot, Software ,Cambridge,operating,50.2,100500000.0
AppNeta, Enterprises ,South Boston,operating,50.1,55799998.0
eSecure Systems, Security ,Austin,operating,50.1,250000.0
lettrs, Social Network Media ,Brooklyn,operating,50.1,1760000.0
Minimally invasive devices, Enterprise Software ,Columbus,operating,50.1,14850000.0
Pinger, Messaging ,San Jose,operating,50.1,18500000.0
SiteWit, Search ,Tampa,operating,50.1,2325000.0
Smule, Music ,San Francisco,operating,50.1,42100000.0
Socialware, Enterprise Software ,Austin,operating,50.1,15022208.0
Sungevity, Clean Technology ,Oakland,operating,50.1,245500000.0
T1 Visions, Software ,Charlotte,operating,50.1,7400000.0
Tongal, Entertainment ,Santa Monica,operating,50.1,21246000.0
Workface, Software ,Minneapolis,operating,50.1,5443678.0
Yapta, Tracking ,Seattle,operating,50.1,24270000.0
Cozi, Shopping ,Seattle,acquired,50.0,5800000.0
CUneXus Solutions, Credit Cards ,Santa Rosa,operating,50.0,670000.0
Education.com, Publishing ,Redwood City,operating,50.0,30260000.0
gantto, Curated Web ,San Francisco,acquired,50.0,0.0
Keen Systems, Cloud Infrastructure ,San Mateo,operating,50.0,3350000.0
OnlineSheetMusic, Music ,Los Altos,operating,50.0,2157896.0
OpenSpan, Analytics ,Alpharetta,operating,50.0,31000000.0
Reachable, Social Business ,Palo Alto,operating,50.0,17550668.0
xAd, Wireless ,New York,operating,50.0,74000000.0
Zemanta, Blogging Platforms ,New York,operating,50.0,7350000.0
Academia.edu, Social Media ,San Francisco,operating,49.9,17800000.0
Biart, 3D Technology ,Houston,operating,49.9,4750000.0
BitWave, Wireless ,Lowell,operating,49.9,27750000.0
Cheezburger, SaaS ,Seattle,operating,49.9,69000000.0
Conductor, Digital Media ,New York,operating,49.9,33648126.0
Data Expedition, File Sharing ,Norman,operating,49.9,0.0
Gather, News ,Boston,operating,49.9,27450000.0
Monetate, Testing ,Philadelphia,operating,49.9,46087662.0
Remark Media, Public Relations ,Las Vegas,operating,49.9,6051497.0
Talari Networks, Internet ,San Jose,operating,49.9,45100000.0
The BabyPlus Company LLC, Babies ,Fishers,operating,49.9,1900000.0
Wealthfront, Wealth Management ,Palo Alto,operating,49.9,129500000.0
Agari, SaaS ,San Mateo,operating,49.8,22700000.0
BootstrapLabs, Finance ,Redwood City,operating,49.8,0.0
eBureau, Analytics ,Saint Cloud,operating,49.8,38000000.0
Gizmox, Software ,Cambridge,operating,49.8,9250000.0
HomeAway, Technology ,Austin,operating,49.8,504678374.0
Jemstep, Consumer Internet ,Los Altos,operating,49.8,15000000.0
Peel, Mobile ,Mountain View,operating,49.8,86700000.0
ReverbNation, Music ,Durham,operating,49.8,8600020.0
Slack, Enterprise Software ,San Francisco,operating,49.8,179950000.0
Swrve, Marketing Automation ,San Francisco,operating,49.8,21139440.0
Canvas, Android ,Reston,operating,49.7,11077736.0
Couchbase, Analytics ,Mountain View,operating,49.7,116000000.0
CrowdFlower, Cloud Data Services ,San Francisco,operating,49.7,28000000.0
Domo, Web Development ,American Fork,operating,49.7,248650000.0
Expert Planet, Customer Service ,Coral Springs,operating,49.7,750000.0
GameDuell, Entertainment ,San Francisco,operating,49.7,17450000.0
Hopper, Search ,Cambridge,operating,49.7,21723709.0
Last 2 Left, Games ,Philadelphia,operating,49.7,210000.0
Mojiva, Mobile ,New York,operating,49.7,45799999.0
"Morf Media, Inc.", Education ,Sunnyvale,operating,49.7,7000000.0
OpenX, Advertising Exchanges ,Pasadena,operating,49.7,75511200.0
Pure Storage, Storage ,Mountain View,operating,49.7,474856468.0
PurePhoto, Art ,Westlake Village,operating,49.7,0.0
The Resumator, Recruiting ,Pittsburgh,operating,49.7,17975000.0
Yelp, Customer Service ,San Francisco,operating,49.7,56000000.0
Ark, Search ,San Francisco,operating,49.6,5250000.0
Audiosocket, Media ,Seattle,operating,49.6,3482300.0
Entellus Medical, Health Care ,Plymouth,operating,49.6,92000000.0
Kraftwurx, E-Commerce ,Cypress,operating,49.6,420000.0
Occipital, Software ,Boulder,operating,49.6,8015000.0
Onapsis Inc., Security ,Cambridge,operating,49.6,12600000.0
OrthoSensor, Health Care ,Fort Lauderdale,operating,49.6,71988600.0
Personal Capital, Finance ,Redwood City,operating,49.6,104325000.0
QUALIA (formerly known as LocalResponse), Brand Marketing ,New York,operating,49.6,8850000.0
Talenthouse, Sales and Marketing ,West Hollywood,operating,49.6,29100000.0
VeriTeQ Corporation, Mobile ,Delray Beach,operating,49.6,20535582.0
Vibrant Media, Online Video Advertising ,New York,operating,49.6,17000000.0
Chegg, Consumers ,Santa Clara,operating,49.5,252303692.0
Lonestar Heart, Biotechnology ,Laguna Hills,operating,49.5,47118258.0
NexPlanar, Semiconductors ,Hillsboro,operating,49.5,43000000.0
Reverb Technologies, Content Discovery ,San Mateo,operating,49.5,12789996.0
Samplify Systems, Semiconductors ,Santa Clara,operating,49.5,23000000.0
SeatGeek, Concerts ,New York,operating,49.5,40970000.0
uSamp, Mobile ,Encino,operating,49.5,29540000.0
Wurl, Media ,Palo Alto,operating,49.5,6539907.0
Aplos Software, Software ,Fresno,operating,49.4,3350000.0
AwarenessHub, Software ,Boston,operating,49.4,21948190.0
DecisionDesk, Education ,Lakewood,operating,49.4,4065000.0
Famigo, Mobile ,Austin,operating,49.4,2020000.0
ForSight Labs, Biotechnology ,Menlo Park,operating,49.4,57300001.0
fotopedia, Advertising ,San Francisco,operating,49.4,12662722.0
HYLA Mobile, Clean Technology ,Irving,operating,49.4,311453228.0
MasteryConnect, Education ,Sandy,operating,49.4,24125000.0
Ormet Circuits, Material Science ,San Diego,operating,49.4,8906815.0
PeekYou, Search ,New York,operating,49.4,1825000.0
Unigo, Education ,New York,operating,49.4,2400000.0
Vubiquity, Digital Media ,Reston,operating,49.4,237179999.0
Weather Trends International, Software ,Bethlehem,operating,49.4,5500000.0
Booyah, Entertainment ,San Francisco,operating,49.3,59500000.0
DataXu, Advertising ,Boston,operating,49.3,55800000.0
iHear Medical, Health Care ,San Leandro,operating,49.3,7795000.0
Lyft, Transportation ,San Francisco,operating,49.3,332500000.0
"Modernizing Medicine, Inc.", Health Care Information Technology ,Boca Raton,operating,49.3,55165995.0
NextGxDX, Biotechnology ,Franklin,operating,49.3,6175029.0
SpeedDate, Online Dating ,San Mateo,operating,49.3,11600000.0
textPlus, Communities ,Marina Del Rey,operating,49.3,46325000.0
Univa, Software ,Hoffman Estates,operating,49.3,23527627.0
Wright Therapy Products, Manufacturing ,Oakdale,operating,49.3,9834135.0
Zetta.net, Enterprise Software ,Sunnyvale,operating,49.3,39700000.0
